TRANSACTION_DATE,TRANSACTION_HOUR,TIMESTAMP,TOTAL_EVENTS,TOTAL_VOLUME,PAY_IN_VOLUME,PAY_OUT_VOLUME,PAY_IN_COUNT,PAY_OUT_COUNT,FAILURE_RATE,PAY_IN_RATIO,COMPLETED_COUNT,FAILED_COUNT,PROCESSING_COUNT,EVENTS_WITH_RETRIES,TOTAL_RETRIES,SUCCESSFUL_RETRIES,RETRY_RATE
2025-01-01,21,2025-01-01 21:00:00,6,33110.27,28202.8,4907.47,5.0,1.0,33.33,83.33,4.0,2.0,0.0,1,0,0.0,16.67
2025-01-01,22,2025-01-01 22:00:00,3,14210.93,8848.56,5362.37,2.0,1.0,0.0,66.67,2.0,0.0,0.0,0,2,0.0,0.0
2025-01-01,23,2025-01-01 23:00:00,6,35290.72,20220.17,15070.550000000001,4.0,2.0,33.33,66.67,1.0,2.0,1.0,0,0,0.0,0.0
2025-01-02,0,2025-01-02 00:00:00,5,39670.21,39670.21,0.0,5.0,0.0,0.0,100.0,4.0,0.0,0.0,1,0,0.0,20.0
2025-01-02,1,2025-01-02 01:00:00,3,21425.73,21425.73,0.0,3.0,0.0,0.0,100.0,3.0,0.0,0.0,0,0,0.0,0.0
2025-01-02,2,2025-01-02 02:00:00,3,10948.31,2840.09,8108.22,2.0,1.0,0.0,66.67,2.0,0.0,0.0,0,1,1.0,0.0
2025-01-02,3,2025-01-02 03:00:00,4,20362.99,1169.23,19193.760000000002,1.0,3.0,0.0,25.0,4.0,0.0,0.0,0,0,0.0,0.0
2025-01-02,4,2025-01-02 04:00:00,3,11735.43,11735.43,0.0,3.0,0.0,0.0,100.0,2.0,0.0,0.0,0,0,0.0,0.0
2025-01-02,5,2025-01-02 05:00:00,3,14454.85,11313.94,3140.91,2.0,1.0,0.0,66.67,3.0,0.0,0.0,1,0,0.0,33.33
2025-01-02,6,2025-01-02 06:00:00,9,35684.49,14215.35,21469.14,4.0,5.0,11.11,44.44,4.0,1.0,4.0,0,1,1.0,0.0
2025-01-02,7,2025-01-02 07:00:00,1,3899.75,3899.75,0.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0,0,0.0,0.0
2025-01-02,8,2025-01-02 08:00:00,5,25856.82,16427.59,9429.23,3.0,2.0,0.0,60.0,3.0,0.0,1.0,0,0,0.0,0.0
2025-01-02,9,2025-01-02 09:00:00,5,18705.43,1445.08,17260.35,2.0,3.0,0.0,40.0,4.0,0.0,0.0,0,0,0.0,0.0
2025-01-02,10,2025-01-02 10:00:00,3,12994.810000000001,0.0,12994.810000000001,0.0,3.0,0.0,0.0,2.0,0.0,1.0,1,0,0.0,33.33
2025-01-02,11,2025-01-02 11:00:00,4,15348.97,11919.76,3429.21,2.0,2.0,25.0,50.0,2.0,1.0,0.0,0,0,0.0,0.0
2025-01-02,12,2025-01-02 12:00:00,3,14381.73,12037.02,2344.71,2.0,1.0,0.0,66.67,3.0,0.0,0.0,1,1,0.0,33.33
2025-01-02,13,2025-01-02 13:00:00,5,28509.929999999993,17415.86,11094.07,2.0,3.0,20.0,40.0,2.0,1.0,1.0,1,1,0.0,20.0
2025-01-02,14,2025-01-02 14:00:00,8,33542.090000000004,18451.78,15090.31,3.0,5.0,0.0,37.5,6.0,0.0,1.0,3,0,0.0,37.5
2025-01-02,15,2025-01-02 15:00:00,1,6156.94,6156.94,0.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0,2,1.0,0.0
2025-01-02,16,2025-01-02 16:00:00,1,8168.41,8168.41,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0,2,1.0,0.0
2025-01-02,17,2025-01-02 17:00:00,4,13335.38,4101.19,9234.189999999999,1.0,3.0,0.0,25.0,4.0,0.0,0.0,2,0,0.0,50.0
2025-01-02,18,2025-01-02 18:00:00,2,6548.719999999999,4971.44,1577.28,1.0,1.0,0.0,50.0,2.0,0.0,0.0,1,1,1.0,50.0
2025-01-02,19,2025-01-02 19:00:00,1,1828.92,1828.92,0.0,1.0,0.0,100.0,100.0,0.0,1.0,0.0,0,1,0.0,0.0
2025-01-02,20,2025-01-02 20:00:00,3,15125.09,7036.13,8088.96,2.0,1.0,33.33,66.67,2.0,1.0,0.0,0,1,0.0,0.0
2025-01-02,21,2025-01-02 21:00:00,6,35508.450000000004,29665.190000000002,5843.26,5.0,1.0,0.0,83.33,5.0,0.0,0.0,0,0,0.0,0.0
2025-01-02,22,2025-01-02 22:00:00,3,16347.48,8300.15,8047.33,2.0,1.0,0.0,66.67,3.0,0.0,0.0,1,0,0.0,33.33
2025-01-02,23,2025-01-02 23:00:00,5,17403.03,5383.09,12019.94,1.0,4.0,0.0,20.0,4.0,0.0,0.0,1,1,1.0,20.0
2025-01-03,0,2025-01-03 00:00:00,2,4135.83,4135.83,0.0,2.0,0.0,0.0,100.0,1.0,0.0,1.0,0,0,0.0,0.0
2025-01-03,1,2025-01-03 01:00:00,10,50336.18,20852.36,29483.82,4.0,6.0,10.0,40.0,7.0,1.0,2.0,1,0,0.0,10.0
2025-01-03,2,2025-01-03 02:00:00,4,14831.34,3366.91,11464.43,2.0,2.0,0.0,50.0,4.0,0.0,0.0,1,1,0.0,25.0
2025-01-03,3,2025-01-03 03:00:00,4,17003.579999999998,11616.5,5387.08,3.0,1.0,50.0,75.0,2.0,2.0,0.0,0,0,0.0,0.0
2025-01-03,4,2025-01-03 04:00:00,1,9890.81,9890.81,0.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0,2,1.0,0.0
2025-01-03,5,2025-01-03 05:00:00,5,17239.97,9780.51,7459.46,2.0,3.0,20.0,40.0,3.0,1.0,1.0,0,0,0.0,0.0
2025-01-03,6,2025-01-03 06:00:00,8,30617.29,15015.179999999998,15602.11,4.0,4.0,12.5,50.0,6.0,1.0,0.0,1,1,0.0,12.5
2025-01-03,7,2025-01-03 07:00:00,3,13997.310000000001,0.0,13997.310000000001,0.0,3.0,33.33,0.0,2.0,1.0,0.0,0,0,0.0,0.0
2025-01-03,8,2025-01-03 08:00:00,1,9056.42,0.0,9056.42,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0
2025-01-03,9,2025-01-03 09:00:00,3,15502.32,15502.32,0.0,3.0,0.0,0.0,100.0,3.0,0.0,0.0,0,0,0.0,0.0
2025-01-03,10,2025-01-03 10:00:00,5,23034.219999999998,18841.42,4192.8,3.0,2.0,0.0,60.0,3.0,0.0,1.0,0,0,0.0,0.0
2025-01-03,11,2025-01-03 11:00:00,9,51428.990000000005,33450.06,17978.93,6.0,3.0,0.0,66.67,7.0,0.0,1.0,1,0,0.0,11.11
2025-01-03,12,2025-01-03 12:00:00,4,14182.95,4606.9400000000005,9576.01,2.0,2.0,25.0,50.0,1.0,1.0,1.0,2,2,1.0,50.0
2025-01-03,13,2025-01-03 13:00:00,4,31614.530000000006,31614.530000000006,0.0,4.0,0.0,50.0,100.0,1.0,2.0,1.0,1,1,1.0,25.0
2025-01-03,14,2025-01-03 14:00:00,6,35191.4,24786.98,10404.42,4.0,2.0,0.0,66.67,5.0,0.0,0.0,2,3,0.0,33.33
2025-01-03,15,2025-01-03 15:00:00,3,11232.79,1341.06,9891.730000000001,1.0,2.0,0.0,33.33,2.0,0.0,1.0,0,0,0.0,0.0
2025-01-03,16,2025-01-03 16:00:00,1,9035.46,9035.46,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0,1,0.0,0.0
2025-01-03,17,2025-01-03 17:00:00,8,44772.13999999999,20709.46,24062.679999999997,3.0,5.0,0.0,37.5,7.0,0.0,1.0,0,0,0.0,0.0
2025-01-03,18,2025-01-03 18:00:00,5,15473.14,6901.990000000001,8571.150000000001,3.0,2.0,20.0,60.0,0.0,1.0,4.0,1,0,0.0,20.0
2025-01-03,19,2025-01-03 19:00:00,2,8435.3,8435.3,0.0,2.0,0.0,0.0,100.0,2.0,0.0,0.0,0,0,0.0,0.0
2025-01-03,20,2025-01-03 20:00:00,3,12410.0,3241.12,9168.880000000001,1.0,2.0,0.0,33.33,2.0,0.0,1.0,0,1,0.0,0.0
2025-01-03,21,2025-01-03 21:00:00,6,24137.109999999997,22875.420000000002,1261.69,5.0,1.0,0.0,83.33,5.0,0.0,0.0,1,0,0.0,16.67
2025-01-03,22,2025-01-03 22:00:00,5,22231.839999999997,8597.74,13634.1,2.0,3.0,20.0,40.0,4.0,1.0,0.0,1,0,0.0,20.0
2025-01-03,23,2025-01-03 23:00:00,3,14395.04,5340.12,9054.92,1.0,2.0,0.0,33.33,3.0,0.0,0.0,0,1,0.0,0.0
2025-01-04,0,2025-01-04 00:00:00,3,21178.0,14643.3,6534.7,2.0,1.0,0.0,66.67,3.0,0.0,0.0,0,1,1.0,0.0
2025-01-04,1,2025-01-04 01:00:00,3,13765.03,13765.03,0.0,3.0,0.0,33.33,100.0,1.0,1.0,0.0,0,0,0.0,0.0
2025-01-04,2,2025-01-04 02:00:00,6,34316.82,22768.02,11548.8,4.0,2.0,0.0,66.67,4.0,0.0,2.0,1,0,0.0,16.67
2025-01-04,3,2025-01-04 03:00:00,3,18369.690000000002,6338.07,12031.62,1.0,2.0,0.0,33.33,2.0,0.0,0.0,2,2,2.0,66.67
2025-01-04,4,2025-01-04 04:00:00,6,23958.17,12472.880000000001,11485.29,4.0,2.0,0.0,66.67,3.0,0.0,1.0,0,1,1.0,0.0
2025-01-04,5,2025-01-04 05:00:00,2,16635.58,16635.58,0.0,2.0,0.0,50.0,100.0,0.0,1.0,1.0,1,0,0.0,50.0
2025-01-04,6,2025-01-04 06:00:00,3,9271.74,1110.74,8161.0,1.0,2.0,0.0,33.33,3.0,0.0,0.0,1,1,0.0,33.33
2025-01-04,7,2025-01-04 07:00:00,3,16984.07,7681.469999999999,9302.6,2.0,1.0,0.0,66.67,2.0,0.0,0.0,1,0,0.0,33.33
2025-01-04,8,2025-01-04 08:00:00,4,13764.22,5159.31,8604.91,1.0,3.0,0.0,25.0,4.0,0.0,0.0,0,1,1.0,0.0
2025-01-04,9,2025-01-04 09:00:00,5,36405.0,4813.39,31591.61,1.0,4.0,0.0,20.0,3.0,0.0,2.0,0,1,0.0,0.0
2025-01-04,10,2025-01-04 10:00:00,8,41310.71000000001,24404.27,16906.44,5.0,3.0,25.0,62.5,3.0,2.0,1.0,1,0,0.0,12.5
2025-01-04,11,2025-01-04 11:00:00,5,29331.02,20296.27,9034.75,3.0,2.0,20.0,60.0,1.0,1.0,2.0,1,1,1.0,20.0
2025-01-04,12,2025-01-04 12:00:00,7,36552.31999999999,12993.92,23558.4,3.0,4.0,28.57,42.86,3.0,2.0,2.0,1,0,0.0,14.29
2025-01-04,13,2025-01-04 13:00:00,8,44976.06,31310.82,13665.239999999998,5.0,3.0,12.5,62.5,6.0,1.0,0.0,0,1,1.0,0.0
2025-01-04,14,2025-01-04 14:00:00,3,13255.660000000002,11277.380000000001,1978.28,2.0,1.0,0.0,66.67,2.0,0.0,0.0,0,1,1.0,0.0
2025-01-04,15,2025-01-04 15:00:00,4,17304.2,5689.4800000000005,11614.720000000001,2.0,2.0,0.0,50.0,3.0,0.0,1.0,2,1,0.0,50.0
2025-01-04,16,2025-01-04 16:00:00,5,34963.18,26011.51,8951.67,4.0,1.0,40.0,80.0,3.0,2.0,0.0,0,0,0.0,0.0
2025-01-04,17,2025-01-04 17:00:00,4,19856.500000000004,1551.81,18304.690000000002,1.0,3.0,0.0,25.0,3.0,0.0,1.0,1,2,1.0,25.0
2025-01-04,18,2025-01-04 18:00:00,3,22591.549999999996,13902.32,8689.23,2.0,1.0,0.0,66.67,3.0,0.0,0.0,0,0,0.0,0.0
2025-01-04,19,2025-01-04 19:00:00,2,9037.48,7678.45,1359.03,1.0,1.0,0.0,50.0,0.0,0.0,1.0,0,0,0.0,0.0
2025-01-04,20,2025-01-04 20:00:00,4,18463.57,12862.730000000001,5600.84,3.0,1.0,0.0,75.0,2.0,0.0,1.0,1,0,0.0,25.0
2025-01-04,21,2025-01-04 21:00:00,4,24409.460000000003,10388.07,14021.39,2.0,2.0,0.0,50.0,3.0,0.0,1.0,0,0,0.0,0.0
2025-01-04,22,2025-01-04 22:00:00,4,22153.38,6056.92,16096.46,1.0,3.0,0.0,25.0,3.0,0.0,1.0,1,0,0.0,25.0
2025-01-04,23,2025-01-04 23:00:00,4,21933.239999999998,11137.61,10795.630000000001,2.0,2.0,0.0,50.0,4.0,0.0,0.0,0,1,1.0,0.0
2025-01-05,0,2025-01-05 00:00:00,6,35875.52,21936.85,13938.67,4.0,2.0,0.0,66.67,5.0,0.0,1.0,0,1,1.0,0.0
2025-01-05,1,2025-01-05 01:00:00,2,4217.17,0.0,4217.17,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1,0,0.0,50.0
2025-01-05,2,2025-01-05 02:00:00,4,20002.42,9349.31,10653.11,2.0,2.0,0.0,50.0,3.0,0.0,1.0,1,2,2.0,25.0
2025-01-05,3,2025-01-05 03:00:00,6,36472.630000000005,14889.66,21582.97,2.0,4.0,0.0,33.33,4.0,0.0,0.0,1,0,0.0,16.67
2025-01-05,4,2025-01-05 04:00:00,2,9824.13,2091.68,7732.45,1.0,1.0,0.0,50.0,2.0,0.0,0.0,0,0,0.0,0.0
2025-01-05,5,2025-01-05 05:00:00,3,5879.42,12.73,5866.6900000000005,1.0,2.0,0.0,33.33,3.0,0.0,0.0,0,1,0.0,0.0
2025-01-05,6,2025-01-05 06:00:00,2,14782.06,14782.06,0.0,2.0,0.0,0.0,100.0,2.0,0.0,0.0,0,0,0.0,0.0
2025-01-05,7,2025-01-05 07:00:00,2,10710.349999999999,0.0,10710.349999999999,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1,0,0.0,50.0
2025-01-05,8,2025-01-05 08:00:00,2,15463.83,8899.65,6564.18,1.0,1.0,0.0,50.0,0.0,0.0,1.0,0,0,0.0,0.0
2025-01-05,9,2025-01-05 09:00:00,2,7482.12,4207.58,3274.54,1.0,1.0,0.0,50.0,1.0,0.0,1.0,0,0,0.0,0.0
2025-01-05,10,2025-01-05 10:00:00,7,35443.43,26303.71,9139.72,5.0,2.0,14.29,71.43,4.0,1.0,2.0,0,1,0.0,0.0
2025-01-05,11,2025-01-05 11:00:00,3,12416.47,2661.65,9754.82,1.0,2.0,0.0,33.33,3.0,0.0,0.0,1,0,0.0,33.33
2025-01-05,12,2025-01-05 12:00:00,6,30671.95,10642.82,20029.13,2.0,4.0,0.0,33.33,3.0,0.0,2.0,0,0,0.0,0.0
2025-01-05,13,2025-01-05 13:00:00,5,26337.33,5990.13,20347.2,1.0,4.0,0.0,20.0,5.0,0.0,0.0,0,0,0.0,0.0
2025-01-05,14,2025-01-05 14:00:00,7,33157.29,16357.34,16799.95,5.0,2.0,0.0,71.43,3.0,0.0,1.0,0,1,1.0,0.0
2025-01-05,15,2025-01-05 15:00:00,4,22062.42,11812.150000000001,10250.269999999999,2.0,2.0,0.0,50.0,3.0,0.0,1.0,0,0,0.0,0.0
2025-01-05,16,2025-01-05 16:00:00,2,12768.64,4199.81,8568.83,1.0,1.0,0.0,50.0,2.0,0.0,0.0,0,0,0.0,0.0
2025-01-05,17,2025-01-05 17:00:00,4,4764.57,11.92,4752.65,1.0,3.0,50.0,25.0,1.0,2.0,0.0,1,0,0.0,25.0
2025-01-05,18,2025-01-05 18:00:00,5,33779.32,0.0,33779.32,0.0,5.0,20.0,0.0,2.0,1.0,1.0,0,1,1.0,0.0
2025-01-05,19,2025-01-05 19:00:00,8,46481.14,12220.35,34260.79,3.0,5.0,25.0,37.5,1.0,2.0,3.0,0,0,0.0,0.0
2025-01-05,20,2025-01-05 20:00:00,4,20348.31,6156.21,14192.1,2.0,2.0,0.0,50.0,3.0,0.0,0.0,0,0,0.0,0.0
2025-01-05,21,2025-01-05 21:00:00,4,23112.910000000003,10470.23,12642.68,2.0,2.0,0.0,50.0,1.0,0.0,3.0,0,0,0.0,0.0
2025-01-05,22,2025-01-05 22:00:00,8,48615.899999999994,37155.149999999994,11460.75,6.0,2.0,37.5,75.0,4.0,3.0,0.0,0,0,0.0,0.0
2025-01-05,23,2025-01-05 23:00:00,1,8992.66,8992.66,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,0.0,0.0
2025-01-06,0,2025-01-06 00:00:00,4,18958.9,18958.9,0.0,4.0,0.0,0.0,100.0,4.0,0.0,0.0,3,1,0.0,75.0
2025-01-06,1,2025-01-06 01:00:00,2,3921.58,2855.53,1066.05,1.0,1.0,0.0,50.0,1.0,0.0,1.0,0,0,0.0,0.0
2025-01-06,2,2025-01-06 02:00:00,3,11543.029999999999,0.0,11543.029999999999,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2,2,0.0,66.67
2025-01-06,3,2025-01-06 03:00:00,4,24464.390000000003,17120.13,7344.26,3.0,1.0,0.0,75.0,4.0,0.0,0.0,1,0,0.0,25.0
2025-01-06,4,2025-01-06 04:00:00,2,11495.18,11495.18,0.0,2.0,0.0,0.0,100.0,1.0,0.0,1.0,0,2,1.0,0.0
2025-01-06,5,2025-01-06 05:00:00,1,603.6,603.6,0.0,1.0,0.0,100.0,100.0,0.0,1.0,0.0,0,1,0.0,0.0
2025-01-06,6,2025-01-06 06:00:00,2,5409.63,4380.01,1029.62,1.0,1.0,0.0,50.0,2.0,0.0,0.0,1,0,0.0,50.0
2025-01-06,7,2025-01-06 07:00:00,4,12508.56,8723.16,3785.3999999999996,2.0,2.0,0.0,50.0,2.0,0.0,1.0,0,0,0.0,0.0
2025-01-06,8,2025-01-06 08:00:00,4,17690.35,10653.36,7036.99,2.0,2.0,25.0,50.0,2.0,1.0,0.0,0,0,0.0,0.0
2025-01-06,9,2025-01-06 09:00:00,4,17133.05,14705.41,2427.64,3.0,1.0,0.0,75.0,4.0,0.0,0.0,0,1,0.0,0.0
2025-01-06,10,2025-01-06 10:00:00,4,16669.199999999997,7574.320000000001,9094.88,3.0,1.0,0.0,75.0,2.0,0.0,1.0,0,0,0.0,0.0
2025-01-06,11,2025-01-06 11:00:00,9,41228.70999999999,17405.629999999997,23823.08,5.0,4.0,11.11,55.56,6.0,1.0,1.0,0,0,0.0,0.0
2025-01-06,12,2025-01-06 12:00:00,7,33605.07,18521.23,15083.84,4.0,3.0,0.0,57.14,5.0,0.0,1.0,0,0,0.0,0.0
2025-01-06,13,2025-01-06 13:00:00,1,1165.27,0.0,1165.27,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0.0,100.0
2025-01-06,14,2025-01-06 14:00:00,3,9152.42,6260.43,2891.99,1.0,2.0,0.0,33.33,0.0,0.0,3.0,0,0,0.0,0.0
2025-01-06,15,2025-01-06 15:00:00,4,12096.16,0.0,12096.16,0.0,4.0,25.0,0.0,3.0,1.0,0.0,0,0,0.0,0.0
2025-01-06,16,2025-01-06 16:00:00,2,4222.75,3284.58,938.17,1.0,1.0,0.0,50.0,1.0,0.0,0.0,0,0,0.0,0.0
2025-01-06,17,2025-01-06 17:00:00,2,9505.97,0.0,9505.97,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0.0,0.0
2025-01-06,18,2025-01-06 18:00:00,6,27245.34,2391.06,24854.28,1.0,5.0,16.67,16.67,4.0,1.0,0.0,1,0,0.0,16.67
2025-01-06,19,2025-01-06 19:00:00,5,12907.17,2302.6099999999997,10604.56,2.0,3.0,0.0,40.0,3.0,0.0,1.0,0,0,0.0,0.0
2025-01-06,20,2025-01-06 20:00:00,2,9961.52,5366.22,4595.3,1.0,1.0,0.0,50.0,1.0,0.0,1.0,0,1,1.0,0.0
2025-01-06,21,2025-01-06 21:00:00,5,29502.589999999997,11852.9,17649.69,2.0,3.0,0.0,40.0,2.0,0.0,3.0,2,1,0.0,40.0
2025-01-06,22,2025-01-06 22:00:00,2,6222.47,6222.47,0.0,2.0,0.0,50.0,100.0,1.0,1.0,0.0,0,0,0.0,0.0
2025-01-06,23,2025-01-06 23:00:00,4,24323.52,5254.1900000000005,19069.33,2.0,2.0,0.0,50.0,1.0,0.0,2.0,0,0,0.0,0.0
2025-01-07,0,2025-01-07 00:00:00,4,18208.86,4050.27,14158.59,2.0,2.0,0.0,50.0,3.0,0.0,0.0,1,1,0.0,25.0
2025-01-07,1,2025-01-07 01:00:00,4,24182.22,2597.13,21585.090000000004,1.0,3.0,0.0,25.0,3.0,0.0,1.0,1,0,0.0,25.0
2025-01-07,2,2025-01-07 02:00:00,2,8854.47,6897.5,1956.97,1.0,1.0,0.0,50.0,1.0,0.0,1.0,0,1,1.0,0.0
2025-01-07,3,2025-01-07 03:00:00,4,27333.690000000006,11764.380000000001,15569.310000000001,2.0,2.0,0.0,50.0,3.0,0.0,0.0,0,1,0.0,0.0
2025-01-07,4,2025-01-07 04:00:00,4,32809.13,23240.48,9568.65,3.0,1.0,0.0,75.0,3.0,0.0,1.0,1,0,0.0,25.0
2025-01-07,5,2025-01-07 05:00:00,3,13763.08,12421.31,1341.77,2.0,1.0,0.0,66.67,3.0,0.0,0.0,0,0,0.0,0.0
2025-01-07,6,2025-01-07 06:00:00,6,30090.269999999997,24662.71,5427.5599999999995,4.0,2.0,0.0,66.67,5.0,0.0,0.0,1,0,0.0,16.67
2025-01-07,7,2025-01-07 07:00:00,6,28139.07,17530.86,10608.21,4.0,2.0,0.0,66.67,4.0,0.0,2.0,0,1,1.0,0.0
2025-01-07,8,2025-01-07 08:00:00,2,7804.49,4177.07,3627.42,1.0,1.0,0.0,50.0,1.0,0.0,1.0,0,1,1.0,0.0
2025-01-07,9,2025-01-07 09:00:00,4,16324.91,2563.94,13760.970000000001,1.0,3.0,25.0,25.0,0.0,1.0,3.0,0,0,0.0,0.0
2025-01-07,10,2025-01-07 10:00:00,3,18451.16,18451.16,0.0,3.0,0.0,0.0,100.0,3.0,0.0,0.0,0,0,0.0,0.0
2025-01-07,11,2025-01-07 11:00:00,2,2270.4399999999996,2270.4399999999996,0.0,2.0,0.0,50.0,100.0,0.0,1.0,1.0,0,0,0.0,0.0
2025-01-07,12,2025-01-07 12:00:00,5,22404.01,0.0,22404.01,0.0,5.0,0.0,0.0,4.0,0.0,1.0,2,1,0.0,40.0
2025-01-07,13,2025-01-07 13:00:00,1,3282.34,3282.34,0.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0,1,0.0,0.0
2025-01-07,14,2025-01-07 14:00:00,5,26621.909999999996,5580.61,21041.300000000003,1.0,4.0,0.0,20.0,5.0,0.0,0.0,0,1,0.0,0.0
2025-01-07,15,2025-01-07 15:00:00,1,1061.85,1061.85,0.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0,0,0.0,0.0
2025-01-07,16,2025-01-07 16:00:00,2,7951.37,4979.62,2971.75,1.0,1.0,50.0,50.0,1.0,1.0,0.0,0,0,0.0,0.0
2025-01-07,17,2025-01-07 17:00:00,7,49907.8,20449.18,29458.620000000003,3.0,4.0,28.57,42.86,4.0,2.0,1.0,1,0,0.0,14.29
2025-01-07,18,2025-01-07 18:00:00,5,23763.54,6854.55,16908.989999999998,2.0,3.0,0.0,40.0,3.0,0.0,2.0,1,1,1.0,20.0
2025-01-07,19,2025-01-07 19:00:00,4,18773.04,11186.9,7586.14,2.0,2.0,0.0,50.0,2.0,0.0,1.0,0,1,1.0,0.0
2025-01-07,20,2025-01-07 20:00:00,4,13392.23,13392.23,0.0,4.0,0.0,0.0,100.0,2.0,0.0,1.0,0,0,0.0,0.0
2025-01-07,21,2025-01-07 21:00:00,2,5007.4,0.0,5007.4,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0.0,0.0
2025-01-07,22,2025-01-07 22:00:00,5,21187.77,1922.67,19265.1,1.0,4.0,20.0,20.0,4.0,1.0,0.0,0,0,0.0,0.0
2025-01-07,23,2025-01-07 23:00:00,4,15090.179999999998,8010.66,7079.52,1.0,3.0,0.0,25.0,1.0,0.0,1.0,0,0,0.0,0.0
